Time Stamp,Temperature Ambient,GlobHoriz,HorizBeam,HorizDiff,WindSpeed
2015-01-01 01:00:00,-11.9,0,0,0,4.4
2015-01-01 02:00:00,-14.3,0,0,0,8.1
2015-01-01 03:00:00,-16.2,0,0,0,8.9
2015-01-01 04:00:00,-17.6,0,0,0,10.3
2015-01-01 05:00:00,-18.5,0,0,0,8.6
2015-01-01 06:00:00,-19.2,0,0,0,5.8
2015-01-01 07:00:00,-18.3,0,0,0,5.3
2015-01-01 08:00:00,-17.8,3,0,3,8.1
2015-01-01 09:00:00,-18.3,41,106,32,6.7
2015-01-01 10:00:00,-18.3,169,515,57,8.1
2015-01-01 11:00:00,-17.8,278,642,73,9.7
2015-01-01 12:00:00,-17.2,345,631,106,10.8
2015-01-01 13:00:00,-18.3,301,329,171,13.3
2015-01-01 14:00:00,-13.3,274,324,155,10.8
2015-01-01 15:00:00,-12.2,159,104,129,7.5
2015-01-01 16:00:00,-10,45,0,45,7.2
2015-01-01 17:00:00,-11.1,13,0,13,8.6
2015-01-01 18:00:00,-12.2,3,0,3,8.6
2015-01-01 19:00:00,-13.9,0,0,0,5.3
2015-01-01 20:00:00,-15,0,0,0,3.9
2015-01-01 21:00:00,-15,0,0,0,4.4
2015-01-01 22:00:00,-15,0,0,0,5.3
2015-01-01 23:00:00,-15.6,0,0,0,5.3
2015-01-02 00:00:00,-16.1,0,0,0,5.3
2015-01-02 01:00:00,-16.7,0,0,0,5.3
2015-01-02 02:00:00,-16.7,0,0,0,4.4
2015-01-02 03:00:00,-16.7,0,0,0,3.9
2015-01-02 04:00:00,-13.9,0,0,0,5.3
2015-01-02 05:00:00,-12.8,0,0,0,4.4
2015-01-02 06:00:00,-11.7,0,0,0,5.3
2015-01-02 07:00:00,-11.1,0,0,0,5.3
2015-01-02 08:00:00,-11.1,2,0,2,4.4
2015-01-02 09:00:00,-10.6,24,0,24,3.9
2015-01-02 10:00:00,-10.6,70,0,70,3.6
2015-01-02 11:00:00,-10,144,20,137,4.4
2015-01-02 12:00:00,-10,217,103,178,5
2015-01-02 13:00:00,-9.4,273,233,181,3.9
2015-01-02 14:00:00,-8.9,197,82,167,3.1
2015-01-02 15:00:00,-8.9,108,3,107,3.1
2015-01-02 16:00:00,-9.4,69,3,68,2.8
2015-01-02 17:00:00,-9.4,21,0,21,1.4
2015-01-02 18:00:00,-9.4,3,0,3,0.6
2015-01-02 19:00:00,-10,0,0,0,1.7
2015-01-02 20:00:00,-10,0,0,0,2.2
2015-01-02 21:00:00,-7.8,0,0,0,5.8
2015-01-02 22:00:00,-8.9,0,0,0,5.3
2015-01-02 23:00:00,-8.9,0,0,0,3.9
2015-01-03 00:00:00,-7.8,0,0,0,3.9
2015-01-03 01:00:00,-7.8,0,0,0,2.2
2015-01-03 02:00:00,-8.3,0,0,0,0.8
2015-01-03 03:00:00,-8.9,0,0,0,2.8
2015-01-03 04:00:00,-8.9,0,0,0,3.1
2015-01-03 05:00:00,-8.3,0,0,0,3.1
2015-01-03 06:00:00,-8.3,0,0,0,2.8
2015-01-03 07:00:00,-8.3,0,0,0,3.6
2015-01-03 08:00:00,-8.3,4,0,4,4.4
2015-01-03 09:00:00,-8.3,32,12,31,2.8
2015-01-03 10:00:00,-10,111,75,94,2.8
2015-01-03 11:00:00,-7.8,201,148,153,2.2
2015-01-03 12:00:00,-6.7,198,69,172,4.4
2015-01-03 13:00:00,-6.1,174,7,171,5.3
2015-01-03 14:00:00,-7.2,168,49,149,3.6
2015-01-03 15:00:00,-6.7,120,4,119,4.4
2015-01-03 16:00:00,-7.2,78,33,72,3.1
2015-01-03 17:00:00,-8.9,30,36,28,1.4
2015-01-03 18:00:00,-12.2,5,0,5,3.1
2015-01-03 19:00:00,-11.7,0,0,0,3.1
2015-01-03 20:00:00,-13.3,0,0,0,3.1
2015-01-03 21:00:00,-13.3,0,0,0,5.3
2015-01-03 22:00:00,-13.3,0,0,0,3.6
2015-01-03 23:00:00,-11.7,0,0,0,3.6
2015-01-04 00:00:00,-12.2,0,0,0,3.9
2015-01-04 01:00:00,-12.2,0,0,0,4.4
2015-01-04 02:00:00,-10.6,0,0,0,5.3
2015-01-04 03:00:00,-12.2,0,0,0,3.6
2015-01-04 04:00:00,-11.1,0,0,0,6.4
2015-01-04 05:00:00,-10.6,0,0,0,4.4
2015-01-04 06:00:00,-10,0,0,0,6.4
2015-01-04 07:00:00,-11.7,0,0,0,6.4
2015-01-04 08:00:00,-13.3,4,0,4,5.3
2015-01-04 09:00:00,-12.8,53,289,28,6.4
2015-01-04 10:00:00,-11.1,180,596,49,6.7
2015-01-04 11:00:00,-10,300,766,54,8.6
2015-01-04 12:00:00,-10,378,838,58,7.2
2015-01-04 13:00:00,-10,402,856,60,5.8
2015-01-04 14:00:00,-10,373,747,97,6.4
2015-01-04 15:00:00,-10,305,739,85,8.1
2015-01-04 16:00:00,-10.6,177,634,59,6.4
2015-01-04 17:00:00,-11.1,57,177,45,5.3
2015-01-04 18:00:00,-12.2,6,0,6,5.3
2015-01-04 19:00:00,-12.8,0,0,0,5.3
2015-01-04 20:00:00,-12.8,0,0,0,5
2015-01-04 21:00:00,-13.3,0,0,0,4.4
2015-01-04 22:00:00,-13.3,0,0,0,2.8
2015-01-04 23:00:00,-12.8,0,0,0,3.1
2015-01-05 00:00:00,-13.3,0,0,0,3.9
2015-01-05 01:00:00,-13.9,0,0,0,5.3
2015-01-05 02:00:00,-14.4,0,0,0,4.4
2015-01-05 03:00:00,-13.9,0,0,0,4.4
2015-01-05 04:00:00,-14.4,0,0,0,6.4
2015-01-05 05:00:00,-13.9,0,0,0,6.4
2015-01-05 06:00:00,-13.9,0,0,0,6.4
2015-01-05 07:00:00,-13.9,0,0,0,7.2
2015-01-05 08:00:00,-13.3,3,0,3,4.4
2015-01-05 09:00:00,-11.7,40,98,31,4.4
2015-01-05 10:00:00,-12.8,143,247,89,3.6
2015-01-05 11:00:00,-11.7,261,433,121,3.6
2015-01-05 12:00:00,-10.6,362,683,99,3.9
2015-01-05 13:00:00,-10,378,680,105,5.3
2015-01-05 14:00:00,-9.4,315,486,134,5
2015-01-05 15:00:00,-10,204,257,127,4.4
2015-01-05 16:00:00,-10.6,90,61,78,3.6
2015-01-05 17:00:00,-10.6,26,9,25,2.8
2015-01-05 18:00:00,-11.1,3,0,3,2.2
2015-01-05 19:00:00,-11.1,0,0,0,3.9
2015-01-05 20:00:00,-11.1,0,0,0,2.8
2015-01-05 21:00:00,-11.1,0,0,0,2.2
2015-01-05 22:00:00,-11.1,0,0,0,0.8
2015-01-05 23:00:00,-11.1,0,0,0,1.4
2015-01-06 00:00:00,-10,0,0,0,1.7
2015-01-06 01:00:00,-8.9,0,0,0,1.7
2015-01-06 02:00:00,-8.9,0,0,0,1.7
2015-01-06 03:00:00,-7.2,0,0,0,1.7
2015-01-06 04:00:00,-6.7,0,0,0,3.6
2015-01-06 05:00:00,-5.6,0,0,0,5
